Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk,ParentCorpID,LocationID
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,2.36448,1
APPL,  Physical Risk,Acute,Storm damage ,RCP8.5,2070,119.142,13
APPL,  Physical Risk,Acute,Storm damage ,RCP8.5,2080,169.334,13
APPL,  Physical Risk,Acute,Storm damage ,RCP8.5,2090,198.345,13
APPL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2010,2.0359,13
APPL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2020,3.34,13
APPL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2030,23.2527,13
APPL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2040,44.2332,13
APPL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2050,53.795,13
APPL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2060,99.3383,13
APPL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2070,170.203,13
APPL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2080,241.906,13
APPL,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2090,283.35,13
APPL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2010,0.366462,13
APPL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2020,0.6012,13
APPL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2030,4.18548,13
APPL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2040,7.96197,13
APPL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2050,9.6831,13
APPL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2060,17.8809,13
APPL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2070,30.6365,13
APPL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2080,43.543,13
APPL,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2090,51.0031,13
VOW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,6.72399,14
VOW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,42.5361,14
VOW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,54.2123,14
VOW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,54.4662,14
VOW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,78.0452,14
VOW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,78.0452,14
VOW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,112.072,14
VOW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,156.94,14
VOW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,187.644,14
VOW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2010,0.09376,14
VOW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2020,0.28736,14
VOW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2030,0.54376,14
VOW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2040,0.88592,14
VOW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2050,1.3468,14
VOW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2060,1.97344,14
VOW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2070,2.83432,14
VOW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2080,4.02928,14
VOW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2090,5.70544,14
VOW,  Physical Risk,Chronic,Drought ,RCP8.5,2010,18,14
VOW,  Physical Risk,Chronic,Drought ,RCP8.5,2020,22.5,14
VOW,  Physical Risk,Chronic,Drought ,RCP8.5,2030,148.5,14
VOW,  Physical Risk,Chronic,Drought ,RCP8.5,2040,117,14
VOW,  Physical Risk,Chronic,Drought ,RCP8.5,2050,193.5,14
VOW,  Physical Risk,Chronic,Drought ,RCP8.5,2060,283.5,14
VOW,  Physical Risk,Chronic,Drought ,RCP8.5,2070,274.5,14
VOW,  Physical Risk,Chronic,Drought ,RCP8.5,2080,292.5,14
VOW,  Physical Risk,Chronic,Drought ,RCP8.5,2090,234,14
VOW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2010,0.041442,14
VOW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2020,0.372216,14
VOW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2030,1.24058,14
VOW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2040,3.46527,14
VOW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2050,6.80978,14
VOW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2060,12.0422,14
VOW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2070,18.9524,14
VOW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2080,25.9657,14
VOW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2090,27.8992,14
VOW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2010,0.110512,14
VOW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2020,0.992576,14
VOW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2030,3.30821,14
VOW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2040,9.24074,14
VOW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2050,18.1594,14
VOW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2060,32.1124,14
VOW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2070,50.5399,14
VOW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2080,69.2417,14
VOW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2090,74.3978,14
VOW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2010,0.103605,14
VOW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2020,0.93054,14
VOW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2030,3.10145,14
VOW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2040,8.66319,14
VOW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2050,17.0244,14
VOW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2060,30.1054,14
VOW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2070,47.3811,14
VOW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2080,64.9141,14
VOW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2090,69.7479,14
VOW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2010,0.055256,14
VOW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2020,0.496288,14
VOW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2030,1.6541,14
VOW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2040,4.62037,14
VOW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2050,9.07971,14
VOW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2060,16.0562,14
VOW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2070,25.27,14
VOW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2080,34.6209,14
VOW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2090,37.1989,14
VOW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2010,0.082884,14
VOW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2020,0.744432,14
VOW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2030,2.48116,14
VOW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2040,6.93055,14
VOW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2050,13.6196,14
VOW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2060,24.0843,14
VOW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2070,37.9049,14
VOW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2080,51.9313,14
VOW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2090,55.7983,14
VOW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2010,0.06907,14
VOW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2020,0.62036,14
VOW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2030,2.06763,14
VOW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2040,5.77546,14
VOW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2050,11.3496,14
VOW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2060,20.0702,14
VOW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2070,31.5874,14
VOW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2080,43.2761,14
VOW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2090,46.4986,14
VOW,  Transition Risk,Technology,New technology ,RCP8.5,2010,0.048349,14
VOW,  Transition Risk,Technology,New technology ,RCP8.5,2020,0.434252,14
VOW,  Transition Risk,Technology,New technology ,RCP8.5,2030,1.44734,14
VOW,  Transition Risk,Technology,New technology ,RCP8.5,2040,4.04282,14
VOW,  Transition Risk,Technology,New technology ,RCP8.5,2050,7.94474,14
VOW,  Transition Risk,Technology,New technology ,RCP8.5,2060,14.0492,14
VOW,  Transition Risk,Technology,New technology ,RCP8.5,2070,22.1112,14
VOW,  Transition Risk,Technology,New technology ,RCP8.5,2080,30.2933,14
VOW,  Transition Risk,Technology,New technology ,RCP8.5,2090,32.5491,14
VOW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2010,0.020721,14
VOW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2020,0.186108,14
VOW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2030,0.620289,14
VOW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2040,1.73264,14
VOW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2050,3.40489,14
VOW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2060,6.02107,14
VOW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2070,9.47622,14
VOW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2080,12.9828,14
VOW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2090,13.9496,14
VOW,  Transition Risk,Market,Reputation damage ,RCP8.5,2010,0.034535,14
VOW,  Transition Risk,Market,Reputation damage ,RCP8.5,2020,0.31018,14
VOW,  Transition Risk,Market,Reputation damage ,RCP8.5,2030,1.03381,14
VOW,  Transition Risk,Market,Reputation damage ,RCP8.5,2040,2.88773,14
VOW,  Transition Risk,Market,Reputation damage ,RCP8.5,2050,5.67482,14
VOW,  Transition Risk,Market,Reputation damage ,RCP8.5,2060,10.0351,14
VOW,  Transition Risk,Market,Reputation damage ,RCP8.5,2070,15.7937,14
VOW,  Transition Risk,Market,Reputation damage ,RCP8.5,2080,21.6381,14
VOW,  Transition Risk,Market,Reputation damage ,RCP8.5,2090,23.2493,14
VOW,  Physical Risk,Acute,Storm damage ,RCP8.5,2010,0.48349,14
VOW,  Physical Risk,Acute,Storm damage ,RCP8.5,2020,4.34252,14
VOW,  Physical Risk,Acute,Storm damage ,RCP8.5,2030,14.4734,14
VOW,  Physical Risk,Acute,Storm damage ,RCP8.5,2040,40.4282,14
VOW,  Physical Risk,Acute,Storm damage ,RCP8.5,2050,79.4474,14
VOW,  Physical Risk,Acute,Storm damage ,RCP8.5,2060,140.492,14
VOW,  Physical Risk,Acute,Storm damage ,RCP8.5,2070,221.112,14
VOW,  Physical Risk,Acute,Storm damage ,RCP8.5,2080,302.933,14
VOW,  Physical Risk,Acute,Storm damage ,RCP8.5,2090,325.49,14
VOW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2010,0.6907,14
VOW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2020,6.2036,14
VOW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2030,20.6763,14
VOW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2040,57.7546,14
VOW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2050,113.496,14
VOW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2060,200.702,14
VOW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2070,315.874,14
VOW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2080,432.761,14
VOW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2090,464.986,14
VOW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2010,0.124326,14
VOW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2020,1.11665,14
VOW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2030,3.72173,14
VOW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2040,10.3958,14
VOW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2050,20.4293,14
VOW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2060,36.1265,14
VOW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2070,56.8574,14
VOW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2080,77.897,14
VOW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2090,83.6975,14
BAC,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,0.96057,15
BAC,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,6.07659,15
BAC,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,7.74462,15
BAC,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,7.78089,15
BAC,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,11.1493,15
BAC,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,11.1493,15
BAC,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,16.0103,15
BAC,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,22.4199,15
BAC,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,26.8063,15
BAC,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2010,0,15
BAC,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2020,0,15
BAC,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2030,0,15
BAC,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2040,0,15
BAC,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2050,0,15
BAC,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2060,0,15
BAC,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2070,0,15
BAC,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2080,0,15
BAC,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2090,0,15
BAC,  Physical Risk,Chronic,Drought ,RCP8.5,2010,4.5,15
BAC,  Physical Risk,Chronic,Drought ,RCP8.5,2020,0,15
BAC,  Physical Risk,Chronic,Drought ,RCP8.5,2030,9,15
BAC,  Physical Risk,Chronic,Drought ,RCP8.5,2040,0,15
BAC,  Physical Risk,Chronic,Drought ,RCP8.5,2050,9,15
BAC,  Physical Risk,Chronic,Drought ,RCP8.5,2060,0,15
BAC,  Physical Risk,Chronic,Drought ,RCP8.5,2070,9,15
BAC,  Physical Risk,Chronic,Drought ,RCP8.5,2080,9,15
BAC,  Physical Risk,Chronic,Drought ,RCP8.5,2090,13.5,15
BAC,  Physical Risk,Acute,Employee impacts ,RCP8.5,2010,0.086748,15
BAC,  Physical Risk,Acute,Employee impacts ,RCP8.5,2020,0.017652,15
BAC,  Physical Risk,Acute,Employee impacts ,RCP8.5,2030,0.284712,15
BAC,  Physical Risk,Acute,Employee impacts ,RCP8.5,2040,0.6447,15
BAC,  Physical Risk,Acute,Employee impacts ,RCP8.5,2050,0.8385,15
BAC,  Physical Risk,Acute,Employee impacts ,RCP8.5,2060,1.1893,15
BAC,  Physical Risk,Acute,Employee impacts ,RCP8.5,2070,2.3987,15
BAC,  Physical Risk,Acute,Employee impacts ,RCP8.5,2080,3.81811,15
BAC,  Physical Risk,Acute,Employee impacts ,RCP8.5,2090,4.71598,15
BAC,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2010,0.231328,15
BAC,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2020,0.047072,15
BAC,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2030,0.759232,15
BAC,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2040,1.7192,15
BAC,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2050,2.236,15
BAC,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2060,3.17145,15
BAC,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2070,6.39653,15
BAC,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2080,10.1816,15
BAC,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2090,12.5759,15
BAC,  Opportunity,Resilience,Energy resilience ,RCP8.5,2010,0.21687,15
BAC,  Opportunity,Resilience,Energy resilience ,RCP8.5,2020,0.04413,15
BAC,  Opportunity,Resilience,Energy resilience ,RCP8.5,2030,0.71178,15
BAC,  Opportunity,Resilience,Energy resilience ,RCP8.5,2040,1.61175,15
BAC,  Opportunity,Resilience,Energy resilience ,RCP8.5,2050,2.09625,15
BAC,  Opportunity,Resilience,Energy resilience ,RCP8.5,2060,2.97323,15
BAC,  Opportunity,Resilience,Energy resilience ,RCP8.5,2070,5.99674,15
BAC,  Opportunity,Resilience,Energy resilience ,RCP8.5,2080,9.54525,15
BAC,  Opportunity,Resilience,Energy resilience ,RCP8.5,2090,11.79,15
BAC,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2010,0.115664,15
BAC,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2020,0.023536,15
BAC,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2030,0.379616,15
BAC,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2040,0.8596,15
BAC,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2050,1.118,15
BAC,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2060,1.58573,15
BAC,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2070,3.19826,15
BAC,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2080,5.09081,15
BAC,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2090,6.28798,15
BAC,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2010,0.173496,15
BAC,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2020,0.035304,15
BAC,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2030,0.569424,15
BAC,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2040,1.2894,15
BAC,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2050,1.677,15
BAC,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2060,2.37859,15
BAC,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2070,4.7974,15
BAC,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2080,7.63621,15
BAC,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2090,9.43196,15
BAC,  Transition Risk,Reputation,Materials cost ,RCP8.5,2010,0.14458,15
BAC,  Transition Risk,Reputation,Materials cost ,RCP8.5,2020,0.02942,15
BAC,  Transition Risk,Reputation,Materials cost ,RCP8.5,2030,0.47452,15
BAC,  Transition Risk,Reputation,Materials cost ,RCP8.5,2040,1.0745,15
BAC,  Transition Risk,Reputation,Materials cost ,RCP8.5,2050,1.3975,15
BAC,  Transition Risk,Reputation,Materials cost ,RCP8.5,2060,1.98216,15
BAC,  Transition Risk,Reputation,Materials cost ,RCP8.5,2070,3.99783,15
BAC,  Transition Risk,Reputation,Materials cost ,RCP8.5,2080,6.36351,15
BAC,  Transition Risk,Reputation,Materials cost ,RCP8.5,2090,7.85997,15
BAC,  Transition Risk,Technology,New technology ,RCP8.5,2010,0.101206,15
BAC,  Transition Risk,Technology,New technology ,RCP8.5,2020,0.020594,15
BAC,  Transition Risk,Technology,New technology ,RCP8.5,2030,0.332164,15
BAC,  Transition Risk,Technology,New technology ,RCP8.5,2040,0.75215,15
BAC,  Transition Risk,Technology,New technology ,RCP8.5,2050,0.97825,15
BAC,  Transition Risk,Technology,New technology ,RCP8.5,2060,1.38751,15
BAC,  Transition Risk,Technology,New technology ,RCP8.5,2070,2.79848,15
BAC,  Transition Risk,Technology,New technology ,RCP8.5,2080,4.45446,15
BAC,  Transition Risk,Technology,New technology ,RCP8.5,2090,5.50198,15
BAC,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2010,0.043374,15
BAC,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2020,0.008826,15
BAC,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2030,0.142356,15
BAC,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2040,0.32235,15
BAC,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2050,0.41925,15
BAC,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2060,0.594648,15
BAC,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2070,1.19935,15
BAC,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2080,1.90905,15
BAC,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2090,2.35799,15
BAC,  Transition Risk,Market,Reputation damage ,RCP8.5,2010,0.07229,15
BAC,  Transition Risk,Market,Reputation damage ,RCP8.5,2020,0.01471,15
BAC,  Transition Risk,Market,Reputation damage ,RCP8.5,2030,0.23726,15
BAC,  Transition Risk,Market,Reputation damage ,RCP8.5,2040,0.53725,15
BAC,  Transition Risk,Market,Reputation damage ,RCP8.5,2050,0.69875,15
BAC,  Transition Risk,Market,Reputation damage ,RCP8.5,2060,0.99108,15
BAC,  Transition Risk,Market,Reputation damage ,RCP8.5,2070,1.99891,15
BAC,  Transition Risk,Market,Reputation damage ,RCP8.5,2080,3.18176,15
BAC,  Transition Risk,Market,Reputation damage ,RCP8.5,2090,3.92998,15
BAC,  Physical Risk,Acute,Storm damage ,RCP8.5,2010,1.01206,15
BAC,  Physical Risk,Acute,Storm damage ,RCP8.5,2020,0.20594,15
BAC,  Physical Risk,Acute,Storm damage ,RCP8.5,2030,3.32164,15
BAC,  Physical Risk,Acute,Storm damage ,RCP8.5,2040,7.5215,15
BAC,  Physical Risk,Acute,Storm damage ,RCP8.5,2050,9.7825,15
BAC,  Physical Risk,Acute,Storm damage ,RCP8.5,2060,13.8751,15
BAC,  Physical Risk,Acute,Storm damage ,RCP8.5,2070,27.9848,15
BAC,  Physical Risk,Acute,Storm damage ,RCP8.5,2080,44.5446,15
BAC,  Physical Risk,Acute,Storm damage ,RCP8.5,2090,55.0198,15
BAC,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2010,1.4458,15
BAC,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2020,0.2942,15
BAC,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2030,4.7452,15
BAC,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2040,10.745,15
BAC,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2050,13.975,15
BAC,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2060,19.8216,15
BAC,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2070,39.9783,15
BAC,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2080,63.6351,15
BAC,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2090,78.5997,15
BAC,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2010,0.260244,15
BAC,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2020,0.052956,15
BAC,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2030,0.854136,15
BAC,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2040,1.9341,15
BAC,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2050,2.5155,15
BAC,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2060,3.56788,15
BAC,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2070,7.19609,15
BAC,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2080,11.4543,15
BAC,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2090,14.148,15
SAF,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,16.0095,16
SAF,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,101.277,16
SAF,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,129.077,16
SAF,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,129.682,16
SAF,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,185.822,16
SAF,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,185.822,16
SAF,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,266.838,16
SAF,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,373.666,16
SAF,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,446.771,16
SAF,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2010,1.28896,16
SAF,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2020,4.86488,16
SAF,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2030,11.7328,16
SAF,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2040,25.6696,16
SAF,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2050,66.1998,16
SAF,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2060,187.466,16
SAF,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2070,354.211,16
SAF,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2080,416.583,16
SAF,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2090,429.101,16
SAF,  Physical Risk,Chronic,Drought ,RCP8.5,2010,283.5,16
SAF,  Physical Risk,Chronic,Drought ,RCP8.5,2020,360,16
SAF,  Physical Risk,Chronic,Drought ,RCP8.5,2030,360,16
SAF,  Physical Risk,Chronic,Drought ,RCP8.5,2040,639,16
SAF,  Physical Risk,Chronic,Drought ,RCP8.5,2050,729,16
SAF,  Physical Risk,Chronic,Drought ,RCP8.5,2060,756,16
SAF,  Physical Risk,Chronic,Drought ,RCP8.5,2070,801,16
SAF,  Physical Risk,Chronic,Drought ,RCP8.5,2080,792,16
SAF,  Physical Risk,Chronic,Drought ,RCP8.5,2090,702,16
SAF,  Physical Risk,Acute,Employee impacts ,RCP8.5,2010,2.243,16
SAF,  Physical Risk,Acute,Employee impacts ,RCP8.5,2020,4.57501,16
SAF,  Physical Risk,Acute,Employee impacts ,RCP8.5,2030,10.3877,16
SAF,  Physical Risk,Acute,Employee impacts ,RCP8.5,2040,18.174,16
SAF,  Physical Risk,Acute,Employee impacts ,RCP8.5,2050,32.2476,16
SAF,  Physical Risk,Acute,Employee impacts ,RCP8.5,2060,45.266,16
SAF,  Physical Risk,Acute,Employee impacts ,RCP8.5,2070,63.4184,16
SAF,  Physical Risk,Acute,Employee impacts ,RCP8.5,2080,80.2986,16
SAF,  Physical Risk,Acute,Employee impacts ,RCP8.5,2090,91.4408,16
SAF,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2010,5.98132,16
